id,network_id,degree,trial_maker_id,origin_id,participant_id,sung_pitch1,sung_pitch2,sung_pitch3,sung_pitch4,sung_pitch5,sung_note_durations,peter_tonalness,peter_mode,peter_estimated_key,peter_estimated_tonic,pter_tonal.clarity,pter_tonal.spike,daniel_tonalness,daniel_mode,daniel_estimated_key,m21_key,m21_mode,m21_confidence,m21_key_full
604,17,1,imitation_chain,17.0,42.0,43.6237713964565,47.0925926351354,51.1653848699139,45.9754122052323,52.9850064272533,"0.665215419501134,0.236530612244898,0.797210884353742,0.194353741496599,0.773492063492063",0.6598532524333977,Major,G#,8,1.1309277661415424,0.1630015768087036,0.6203877455303225,major,G#,E-,minor,0.6644469823793049,E- minor
926,17,2,imitation_chain,452.0,61.0,56.7515432783017,61.3274872153858,63.6473857906896,58.729212554147,65.4928356416315,"0.771655328798186,0.316689342403628,0.824467120181406,0.281269841269841,0.866507936507937",0.5720745309936094,Minor,A,9,1.0306120639119212,0.1697902567731042,0.542980608431035,minor,a,A,major,0.6821250585775684,A major
1412,17,3,imitation_chain,607.0,84.0,56.5361793210646,60.7189406615202,62.283818091256,62.8479579053031,65.4215868070113,"0.787278911564626,0.304897959183673,0.847528344671201,0.282154195011338,1.35560090702948",0.8630021798795424,Minor,D,2,1.6613598787516224,0.2723462384451095,0.8651096872361934,minor,d,B-,major,0.3441822494056055,B- major
1703,17,4,imitation_chain,860.0,104.0,46.4667900032592,50.1018516819172,49.0070479291757,51.3259948225387,53.3804521244703,"0.667709750566894,0.266235827664399,0.715260770975057,0.268390022675738,1.37410430839002",0.8254025252551567,Minor,A#,10,1.3988594345532792,0.2142090091783559,0.8012787147737843,minor,a#,B-,minor,0.6396778276486763,B- minor
4321,17,5,imitation_chain,980.0,301.0,44.1414601457329,47.5309281981718,45.9416495981743,51.1923838165547,49.7193960450175,"0.585895691609977,0.322040816326531,0.78265306122449,0.323650793650793,1.13043083900227",0.4853506331275281,Major,A#,10,1.213734127170621,0.1829030358804122,0.4969332780774125,major,A#,A-,major,0.6851316708003578,A- major
5446,17,6,imitation_chain,1986.0,369.0,55.5414585704793,59.5247298606401,56.8836394519005,61.8816002379716,61.9947381842924,"0.844761904761905,0.292947845804988,0.833877551020408,0.293718820861678,1.12356009070295",0.6042036297118526,Major,D,2,1.1749765542826918,0.2306447051968189,0.6237503171772949,major,D,G,major,0.45937998485672893,G major
5680,17,7,imitation_chain,2501.0,379.0,54.8599807265699,59.5918356974146,57.0707733599943,62.7634282012455,62.3550103766569,"1.04072562358277,0.339387755102041,0.903401360544218,0.305192743764172,1.33160997732426",0.7282835020694798,Major,D,2,1.0950854550860756,0.1620986125794902,0.739581079597046,major,D,G,minor,0.6644469823793049,G minor
6386,17,8,imitation_chain,2619.0,422.0,55.0189723133193,59.542744163779,57.0143801138393,62.9289221797023,62.2671880805149,"0.694716553287982,0.303446712018141,0.637845804988662,0.294081632653061,0.893832199546486",0.7282835020694798,Major,D,2,1.0950854550860756,0.1620986125794902,0.739581079597046,major,D,G,minor,0.6644469823793049,G minor
6639,17,9,imitation_chain,2868.0,446.0,55.4941526750525,61.8353188082942,56.5615868697214,60.0844288751417,60.8708270116978,"0.7759410430839,0.306009070294785,0.799365079365079,0.420226757369615,0.881133786848072",0.4436949895287054,Major,A,9,1.2066831929920514,0.1618091200393371,0.4518326812594568,major,A,G,minor,0.5736246171127578,G minor
6864,17,10,imitation_chain,2988.0,461.0,56.1081195764347,61.1086321238448,56.2658876872977,63.0170718989708,60.7881503071377,"0.93734693877551,0.235510204081632,0.960226757369614,0.501473922902494,1.49142857142857",0.7637647940291534,Major,C#,1,1.049405341376178,0.1939167575074231,0.7785086577498248,major,C#,C#,major,0.7094578250063855,C# major
